Time,Conductivity,Temperature,Pressure,Chlorophyll,Backscatter,Temperature,Dissolved O2 concentration,PAR,Transmittance,Sea pressure,Depth,Salinity,Speed of sound,Specific conductivity,Dissolved O2 saturation,Density anomaly
2020-11-06 11:07:32.000,64.4920801,28.8269775,11.7174966,51.0000000,53.0000000,28.5110000,220.4810211,5.0786251,45.2408983,1.5849966,1.5720715,40.1622547,1548.5931006,60091.7189728,114.4066351,26.0116833
2020-11-06 11:07:32.500,64.5015740,28.8237763,11.6659017,51.0000000,54.0000000,28.5478000,221.3844309,4.7535873,45.2406544,1.5334017,1.5208974,40.1716977,1548.5954165,60103.9900633,114.8755661,26.0196634
2020-11-06 11:07:33.000,64.4893412,28.8213271,11.6250106,51.0000000,54.0000000,28.5478000,221.3913694,5.3520392,45.2406544,1.4925106,1.4803397,40.1651348,1548.5826237,60095.2114660,114.8704847,26.0153751
2020-11-06 11:07:33.500,64.5252178,28.8140628,11.6308448,51.0000000,53.0000000,28.5692000,219.5819375,5.3415232,45.2405731,1.4983448,1.4861263,40.1966667,1548.6006014,60136.4207324,113.9383943,26.0416190
2020-11-06 11:07:34.000,64.5176044,28.8488406,11.7318387,51.0000000,53.0000000,28.5692000,219.6371223,5.4629344,45.2405963,1.5993387,1.5862966,40.1617794,1548.6390908,60092.1146778,114.0082262,26.0039735
2020-11-06 11:07:34.500,64.5069198,28.8617978,11.8094429,51.0000000,52.0000000,28.5630000,220.9100062,7.3051337,45.2409448,1.6769429,1.6632681,40.1432338,1548.6482392,60068.3135612,114.6808518,25.9859373
2020-11-06 11:07:35.000,64.4843853,28.8564444,11.8220245,51.0000000,52.0000000,28.5630000,220.9222429,6.2697929,45.2406544,1.6895245,1.6757470,40.1318350,1548.6251147,60053.0488143,114.6701434,25.9792192
2020-11-06 11:07:35.500,64.5092808,28.8335736,11.8181137,51.0000000,52.0000000,28.6321000,220.3957012,5.6770769,45.2407125,1.6856137,1.6718681,40.1687969,1548.6156496,60100.6891952,114.3785656,26.0148041
2020-11-06 11:07:36.000,64.4896347,28.8150302,11.8574860,51.0000000,52.0000000,28.6321000,220.3873998,6.1789735,45.2405963,1.7249860,1.7109193,40.1706010,1548.5789720,60102.2226612,114.3415429,26.0226164
2020-11-06 11:07:36.500,64.4914170,28.8110609,11.8370750,51.0000000,52.0000000,28.6235000,219.2542758,5.7325246,45.2406195,1.7045750,1.6906748,40.1752322,1548.5751101,60108.1316424,113.7493715,26.0273640
2020-11-06 11:07:37.000,64.5166049,28.8018293,11.8919232,51.0000000,53.0000000,28.6235000,219.2202785,6.1684575,45.2405731,1.7594232,1.7450757,40.2008616,1548.5835194,60141.4936277,113.7311640,26.0500357
2020-11-06 11:07:37.500,64.5011112,28.8005966,11.9174279,51.0000000,53.0000000,28.6349000,219.3489696,5.1474566,45.2404918,1.7849279,1.7703724,40.1909355,1548.5708683,60128.3706156,113.7894112,26.0430830
2020-11-06 11:07:38.000,64.4830987,28.8091648,11.9337865,51.0000000,52.0000000,28.6349000,219.3764119,5.0231774,45.2406195,1.8012865,1.7865977,40.1709228,1548.5681780,60102.4079395,113.8065640,26.0251710
2020-11-06 11:07:38.500,64.4839077,28.8043168,11.9311944,51.0000000,52.0000000,28.6457000,218.5175342,5.3013715,45.2424198,1.7986944,1.7840267,40.1756049,1548.5628076,60108.3509703,113.3551737,26.0303304
2020-11-06 11:07:39.000,64.4789900,28.8250922,12.0173192,51.0000000,52.0000000,28.6457000,218.5508470,4.8042549,45.2421875,1.8848192,1.8694492,40.1544957,1548.5859737,60081.5383712,113.3967734,26.0077520
2020-11-06 11:07:39.500,64.4773556,28.8288850,12.0382567,51.0000000,52.0000000,28.6073000,221.4896605,5.1197328,45.2422805,1.9057567,1.8902159,40.1501212,1548.5897392,60075.9592305,114.9257659,26.0032597
2020-11-06 11:07:40.000,64.4838488,28.8229249,12.0204671,51.0000000,52.0000000,28.6073000,221.4756079,5.0050136,45.2419436,1.8879671,1.8725714,40.1597664,1548.5869983,60088.3840946,114.9136965,26.0124710
2020-11-06 11:07:40.500,64.4858916,28.8095849,12.0749770,51.0000000,52.0000000,28.6315000,220.4712627,4.7201275,45.2421295,1.9424770,1.9266368,40.1724958,1548.5731024,60104.5614022,114.3763103,26.0268143
2020-11-06 11:07:41.000,64.4692708,28.7965228,12.0737685,51.0000000,52.0000000,28.6315000,220.4676066,5.6178053,45.2419088,1.9412685,1.9254382,40.1718081,1548.5446959,60103.0493997,114.3501173,26.0307167
2020-11-06 11:07:41.500,64.4607361,28.7996127,12.1123151,51.0000000,52.0000000,28.6247000,220.8182155,6.0231465,45.2407241,1.9798151,1.9636704,40.1631379,1548.5427438,60091.7856113,114.5321020,26.0233014
2020-11-06 11:07:42.000,64.4619745,28.7973022,12.1037758,51.0000000,52.0000000,28.6247000,220.8138782,4.9352260,45.2405499,1.9712758,1.9552007,40.1659750,1548.5406990,60095.4130437,114.5274313,26.0261855
2020-11-06 11:07:42.500,64.4802672,28.8003645,12.1229708,51.0000000,52.0000000,28.6192000,219.8774163,4.8128589,45.2411190,1.9904708,1.9742392,40.1763160,1548.5584150,60109.1882244,114.0538583,26.0330209
2020-11-06 11:07:43.000,64.4481272,28.7970479,12.1892868,51.0000000,52.0000000,28.6192000,219.9011268,4.6761518,45.2408635,2.0567868,2.0400144,40.1563648,1548.5314627,60082.7757578,114.0474687,26.0193946
2020-11-06 11:07:43.500,64.4242442,28.7798918,12.1800466,51.0000000,52.0000000,28.6395000,220.2310410,4.9266221,45.2411306,2.0475466,2.0308496,40.1540049,1548.4924693,60078.8681682,114.1857737,26.0233879
2020-11-06 11:07:44.000,64.4600307,28.7769295,12.1779546,51.0000000,52.0000000,28.6395000,220.1959311,5.8376838,45.2409099,2.0454546,2.0287746,40.1818463,1548.5155265,60115.4135484,114.1798343,26.0453596
2020-11-06 11:07:44.500,64.4683838,28.7718894,12.1884900,51.0000000,52.0000000,28.6434000,219.8689931,6.0977140,45.2407589,2.0559900,2.0392242,40.1920311,1548.5157664,60128.6031817,114.0075780,26.0547852
2020-11-06 11:07:45.000,64.4497124,28.7793226,12.2199817,51.0000000,52.0000000,28.6434000,219.8956356,4.0929958,45.2407589,2.0874817,2.0704591,40.1724997,1548.5114451,60103.2281088,114.0225558,26.0376856
2020-11-06 11:07:45.500,64.4315190,28.7638599,12.2603285,51.0000000,52.0000000,28.6472000,220.1186000,4.4792172,45.2408983,2.1278285,2.1104768,40.1727186,1548.4795791,60102.8191454,114.1101116,26.0432577
2020-11-06 11:07:46.000,64.4162090,28.7504380,12.2475575,51.0000000,52.0000000,28.6472000,220.1132317,5.4667584,45.2407822,2.1150575,2.0978099,40.1732653,1548.4514785,60102.9139262,114.0832016,26.0481585
2020-11-06 11:07:46.500,64.4512844,28.7527310,12.2506295,51.0000000,52.0000000,28.6369000,219.3645652,6.3606122,45.2406544,2.1181295,2.1008569,40.1961589,1548.4805489,60133.1827848,113.7138112,26.0646458
2020-11-06 11:07:47.000,64.4595002,28.7893926,12.2524157,51.0000000,52.0000000,28.6369000,219.4079550,6.1483817,45.2408751,2.1199157,2.1026285,40.1708791,1548.5316182,60101.5730406,113.7869583,26.0331920
2020-11-06 11:07:47.500,64.4370132,28.7844127,12.2763119,51.0000000,52.0000000,28.6367000,219.7225216,4.7497633,45.2408635,2.1438119,2.1263299,40.1591786,1548.5091270,60085.9363357,113.9336209,26.0261645
2020-11-06 11:07:48.000,64.4103859,28.7804445,12.3140481,51.0000000,52.0000000,28.6367000,219.7403501,4.5480487,45.2409331,2.1815481,2.1637584,40.1436847,1548.4850088,60065.3532184,113.9258304,26.0159950
2020-11-06 11:07:48.500,64.3787207,28.7631581,12.3297022,51.0000000,52.0000000,28.6405000,219.8126348,5.1923883,45.2408635,2.1972022,2.1792848,40.1359125,1548.4404278,60054.3191290,113.9269087,26.0160580
2020-11-06 11:07:49.000,64.3768857,28.7504214,12.2928651,51.0000000,52.0000000,28.6405000,219.7963958,5.4065308,45.2406428,2.1603651,2.1427481,40.1454186,1548.4228246,60066.2414023,113.9013232,26.0273746
2020-11-06 11:07:49.500,64.3597619,28.7506093,12.2726951,51.0000000,52.0000000,28.6461000,220.0751593,4.6101883,45.2405963,2.1401951,2.1227426,40.1331414,1548.4099303,60050.0631410,114.0383408,26.0179746
2020-11-06 11:07:50.000,64.3538692,28.7474598,12.2952627,51.0000000,52.0000000,28.6461000,220.0760869,4.5356208,45.2405731,2.1627627,2.1451261,40.1316301,1548.4020343,60047.9361188,114.0321224,26.0179976
